student_id,feedback_text,category,date,rating,department,campus
STU040,Internet bandwidth is insufficient during peak hours causing slow connections.,Infrastructure,2026-05-01,1,Engineering,Main Campus
STU041,Teaching assistants are helpful but some lack expertise in their subject areas.,Teaching Quality,2026-05-01,3,Information Technology,Main Campus
STU042,Student services website is confusing and hard to navigate to find needed information.,Administrative Services,2026-05-01,2,Business,Main Campus
STU043,The library renovations look excellent. Much improved study areas and seating.,Facilities,2026-05-01,5,Arts & Sciences,Main Campus
STU044,WiFi in dorm rooms frequently disconnects making online learning difficult.,Infrastructure,2026-05-01,1,Engineering,Main Campus
STU045,Class sizes are too large making it hard for professors to provide individual attention.,Teaching Quality,2026-05-01,2,Business,Main Campus
STU046,Student feedback system is great! Happy to see university is taking our input seriously.,Administrative Services,2026-05-01,5,Arts & Sciences,Main Campus
STU047,The campus emergency alert system gives fast notifications. Appreciated.,Administrative Services,2026-05-01,4,Engineering,Main Campus
STU048,Lab facilities are well-maintained and regularly updated with new equipment.,Facilities,2026-05-01,5,Information Technology,Main Campus
STU049,Teaching quality would improve if there were smaller class sizes for better interaction.,Teaching Quality,2026-05-01,3,Arts & Sciences,Main Campus
STU050,Campus security staff are professional and responsive to concerns. Feel safe on campus.,Administrative Services,2026-05-01,5,Business,Main Campus
